   60.00 -0.10000E+01  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0
  920.00  0.51909E+11  84.5   5.6   3.7   0.0   0.0   6.2
  930.00  0.50352E+11  84.2   5.8   3.8   0.0   0.0   6.2
  940.00  0.48866E+11  84.0   5.9   4.0   0.0   0.0   6.2
  950.00  0.47445E+11  83.8   5.9   4.1   0.0   0.0   6.2
  960.00  0.46087E+11  83.6   6.0   4.2   0.0   0.0   6.2
  970.00  0.44788E+11  83.3   6.1   4.3   0.0   0.0   6.2
  980.00  0.43544E+11  83.1   6.2   4.4   0.0   0.0   6.2
  990.00  0.42354E+11  82.9   6.3   4.6   0.0   0.0   6.2
 1000.00  0.41212E+11  82.6   6.4   4.7   0.0   0.0   6.2
 1010.00  0.40118E+11  82.4   6.5   4.8   0.0   0.0   6.2
 1020.00  0.39069E+11  82.2   6.6   5.0   0.0   0.0   6.3
 1030.00  0.38062E+11  81.9   6.7   5.1   0.0   0.0   6.3
 1040.00  0.37095E+11  81.7   6.8   5.3   0.0   0.0   6.3
 1050.00  0.36166E+11  81.4   6.9   5.4   0.0   0.0   6.3
 1060.00  0.35273E+11  81.2   7.0   5.6   0.0   0.0   6.3
 1070.00  0.34414E+11  80.9   7.1   5.7   0.0   0.0   6.3
 1080.00  0.33588E+11  80.6   7.2   5.9   0.0   0.0   6.3
 1090.00  0.32793E+11  80.4   7.3   6.1   0.0   0.0   6.3
 1100.00  0.32027E+11  80.1   7.4   6.2   0.0   0.0   6.3
 1110.00  0.31290E+11  79.8   7.5   6.4   0.0   0.0   6.3
 1120.00  0.30579E+11  79.5   7.6   6.6   0.0   0.0   6.3
 1130.00  0.29894E+11  79.2   7.7   6.8   0.0   0.0   6.3
 1140.00  0.29233E+11  78.9   7.8   7.0   0.0   0.0   6.3
 1150.00  0.28595E+11  78.6   7.9   7.1   0.0   0.0   6.3
 1160.00  0.27979E+11  78.3   8.0   7.3   0.0   0.0   6.3
 1170.00  0.27384E+11  78.0   8.1   7.5   0.0   0.0   6.3
 1180.00  0.26809E+11  77.7   8.2   7.8   0.0   0.0   6.3
 1190.00  0.26254E+11  77.4   8.3   8.0   0.0   0.0   6.3
 1200.00  0.25717E+11  77.1   8.4   8.2   0.0   0.0   6.3
 1210.00  0.25198E+11  76.7   8.5   8.4   0.0   0.0   6.3
 1220.00  0.24695E+11  76.4   8.7   8.6   0.0   0.0   6.3
 1230.00  0.24209E+11  76.0   8.8   8.9   0.0   0.0   6.3
 1240.00  0.23738E+11  75.7   8.9   9.1   0.0   0.0   6.3
 1250.00  0.23282E+11  75.3   9.0   9.3   0.0   0.0   6.3
 1260.00  0.22840E+11  75.0   9.1   9.6   0.0   0.0   6.3
 1270.00  0.22412E+11  74.6   9.2   9.9   0.0   0.0   6.3
 1280.00  0.21997E+11  74.2   9.3  10.1   0.0   0.0   6.3
 1290.00  0.21594E+11  73.9   9.5  10.4   0.0   0.0   6.3
 1300.00  0.21204E+11  73.5   9.6  10.7   0.0   0.0   6.3
 1310.00  0.20825E+11  73.1   9.7  10.9   0.0   0.0   6.3
 1320.00  0.20457E+11  72.7   9.8  11.2   0.0   0.0   6.3
 1330.00  0.20099E+11  72.3   9.9  11.5   0.0   0.0   6.3
